,M1,M2,M3
J0^M1,1.0,0.0,0.0
J0^M2,0.0,1.0,0.0
J0^M3,0.0,0.0,1.0
J10^M1,1.0,0.0,0.0
J11^M1,1.0,0.0,0.0
J12^M1,1.0,0.0,0.0
J13^M1,1.0,0.0,0.0
J14^M1,1.0,0.0,0.0
J15^M1,1.0,0.0,0.0
J16^M1,1.0,0.0,0.0
J17^M1,1.0,0.0,0.0
J18^M1,1.0,0.0,0.0
J19^M1,1.0,0.0,0.0
J1^M1,1.0,0.0,0.0
J1^M3,0.0,0.0,1.0
J20^M1,1.0,0.0,0.0
J21^M1,1.0,0.0,0.0
J22^M1,1.0,0.0,0.0
J23^M1,1.0,0.0,0.0
J24^M1,1.0,0.0,0.0
J25^M1,1.0,0.0,0.0
J2^M1,1.0,0.0,0.0
J2^M3,0.0,0.0,1.0
J3^M1,1.0,0.0,0.0
J3^M3,0.0,0.0,1.0
J4^M1,1.0,0.0,0.0
J4^M3,0.0,0.0,1.0
J5^M1,1.0,0.0,0.0
J5^M3,0.0,0.0,1.0
J6^M1,1.0,0.0,0.0
J7^M1,1.0,0.0,0.0
J8^M1,1.0,0.0,0.0
J9^M1,1.0,0.0,0.0
