name,n_Pi,n_Ci,q_i^cut,t_i,t_i^cut,t_i^cut/t_i
E1,1,1,19,22800,22800,1.0
E2,1,1,65,112500,97500,0.8666666666666667
E3,2,2,75,135000,135000,1.0
E4,2,2,13,48300,27300,0.5652173913043478
E5,2,2,0,124200,0,0.0
E6,3,3,36,97200,97200,1.0
E7,4,4,35,105000,105000,1.0
E8,4,4,11,36300,36300,1.0
E9,6,6,5,18000,18000,1.0
E10,6,6,3,11700,11700,1.0
E11,8,8,3,12600,12600,1.0
E12,8,8,1,4500,4500,1.0
E13,1,1,1,9600,1200,0.125
E14,1,1,0,13500,0,0.0
E15,2,2,7,12600,12600,1.0
E16,2,2,8,16800,16800,1.0
E17,2,2,25,92000,57500,0.625
E18,3,3,25,60000,60000,1.0
E19,3,3,3,8100,8100,1.0
E20,3,3,6,18000,18000,1.0
E21,2,2,1,2100,2100,1.0
E22,2,2,11,25300,25300,1.0
E23,3,3,3,9000,9000,1.0
E24,1,1,11,13200,13200,1.0
E25,1,1,2,67500,3000,0.044444444444444446
E26,2,2,45,81000,81000,1.0
E27,2,2,14,29400,29400,1.0
E28,2,2,32,73600,73600,1.0
E29,3,3,22,59400,59400,1.0
E30,3,3,21,63000,63000,1.0
E31,4,4,7,23100,23100,1.0
E32,4,4,3,10800,10800,1.0
E33,4,4,1,3900,3900,1.0
E34,5,5,2,8400,8400,1.0
E35,2,2,2,4800,2400,0.5
E36,2,2,0,7500,0,0.0
E37,4,4,4,7200,7200,1.0
E38,4,4,5,10500,10500,1.0
E39,4,4,24,55200,55200,1.0
E40,5,5,15,36000,36000,1.0
E41,5,5,2,5400,5400,1.0
E42,8,8,4,12000,12000,1.0
E43,4,4,1,2100,2100,1.0
E44,4,4,7,16100,16100,1.0
E45,8,8,2,6000,6000,1.0
E46,1,1,4,4800,4800,1.0
E47,1,1,13,22500,19500,0.8666666666666667
E48,2,2,15,27000,27000,1.0
E49,2,2,4,8400,8400,1.0
E50,2,2,1,25300,2300,0.09090909090909091
E51,3,3,7,18900,18900,1.0
E52,4,4,7,21000,21000,1.0
E53,4,4,2,6600,6600,1.0
E54,6,6,1,3600,3600,1.0
E55,8,8,1,4200,4200,1.0
E56,0,0,0,1200,0,0.0
E57,0,0,0,3000,0,0.0
E58,0,0,0,1800,0,0.0
E59,0,0,0,2100,0,0.0
E60,0,0,0,18400,0,0.0
E61,0,0,0,12000,0,0.0
E62,0,0,0,3000,0,0.0
E63,0,0,0,4600,0,0.0
E64,0,0,0,3600,0,0.0
E65,0,0,0,22500,0,0.0
E66,1,1,15,27000,27000,1.0
E67,1,1,4,8400,8400,1.0
E68,1,1,10,23000,23000,1.0
E69,1,1,7,18900,18900,1.0
E70,1,1,6,21000,18000,0.8571428571428571
E71,1,1,2,6600,6600,1.0
E72,1,1,1,3600,3600,1.0
E73,0,0,0,1200,0,0.0
E74,0,0,0,3000,0,0.0
E75,0,0,0,1800,0,0.0
E76,0,0,0,2100,0,0.0
E77,0,0,0,18400,0,0.0
E78,0,0,0,12000,0,0.0
E79,0,0,0,3000,0,0.0
E80,0,0,0,4600,0,0.0
