name,D,B,L,qty,section_group_id,section_group_id_and_qty
E1,70,35,1200,19,E1,E1 (x19)
E2,70,35,1500,75,E2,E2 (x75)
E3,70,35,1800,75,E3,E3 (x75)
E4,70,35,2100,23,E4,E4 (x23)
E5,70,35,2300,54,E5,E5 (x54)
E6,70,35,2700,36,E6,E6 (x36)
E7,70,35,3000,35,E7,E7 (x35)
E8,70,35,3300,11,E8,E8 (x11)
E9,70,35,3600,5,E9,E9 (x5)
E10,70,35,3900,3,E10,E10 (x3)
E11,70,35,4200,3,E11,E11 (x3)
E12,70,35,4500,1,E12,E12 (x1)
E13,90,35,1200,8,E13,E13 (x8)
E14,90,35,1500,9,E14,E14 (x9)
E15,90,35,1800,7,E15,E15 (x7)
E16,90,35,2100,8,E16,E16 (x8)
E17,90,35,2300,40,E17,E17 (x40)
E18,90,35,2400,25,E18,E18 (x25)
E19,90,35,2700,3,E19,E19 (x3)
E20,90,35,3000,6,E20,E20 (x6)
E21,90,35,2100,1,E21,E21 (x1)
E22,90,35,2300,11,E22,E22 (x11)
E23,90,35,3000,3,E23,E23 (x3)
E24,70,35,1200,11,E24,E24 (x11)
E25,70,35,1500,45,E25,E25 (x45)
E26,70,35,1800,45,E26,E26 (x45)
E27,70,35,2100,14,E27,E27 (x14)
E28,70,35,2300,32,E28,E28 (x32)
E29,70,35,2700,22,E29,E29 (x22)
E30,70,35,3000,21,E30,E30 (x21)
E31,70,35,3300,7,E31,E31 (x7)
E32,70,35,3600,3,E32,E32 (x3)
E33,70,35,3900,1,E33,E33 (x1)
E34,70,35,4200,2,E34,E34 (x2)
E35,90,35,1200,4,E35,E35 (x4)
E36,90,35,1500,5,E36,E36 (x5)
E37,90,35,1800,4,E37,E37 (x4)
E38,90,35,2100,5,E38,E38 (x5)
E39,90,35,2300,24,E39,E39 (x24)
E40,90,35,2400,15,E40,E40 (x15)
E41,90,35,2700,2,E41,E41 (x2)
E42,90,35,3000,4,E42,E42 (x4)
E43,90,35,2100,1,E43,E43 (x1)
E44,90,35,2300,7,E44,E44 (x7)
E45,90,35,3000,2,E45,E45 (x2)
E46,70,35,1200,4,E46,E46 (x4)
E47,70,35,1500,15,E47,E47 (x15)
E48,70,35,1800,15,E48,E48 (x15)
E49,70,35,2100,4,E49,E49 (x4)
E50,70,35,2300,11,E50,E50 (x11)
E51,70,35,2700,7,E51,E51 (x7)
E52,70,35,3000,7,E52,E52 (x7)
E53,70,35,3300,2,E53,E53 (x2)
E54,70,35,3600,1,E54,E54 (x1)
E55,70,35,4200,1,E55,E55 (x1)
E56,90,35,1200,1,E56,E56 (x1)
E57,90,35,1500,2,E57,E57 (x2)
E58,90,35,1800,1,E58,E58 (x1)
E59,90,35,2100,1,E59,E59 (x1)
E60,90,35,2300,8,E60,E60 (x8)
E61,90,35,2400,5,E61,E61 (x5)
E62,90,35,3000,1,E62,E62 (x1)
E63,90,35,2300,2,E63,E63 (x2)
E64,70,35,1200,3,E64,E64 (x3)
E65,70,35,1500,15,E65,E65 (x15)
E66,70,35,1800,15,E66,E66 (x15)
E67,70,35,2100,4,E67,E67 (x4)
E68,70,35,2300,10,E68,E68 (x10)
E69,70,35,2700,7,E69,E69 (x7)
E70,70,35,3000,7,E70,E70 (x7)
E71,70,35,3300,2,E71,E71 (x2)
E72,70,35,3600,1,E72,E72 (x1)
E73,90,35,1200,1,E73,E73 (x1)
E74,90,35,1500,2,E74,E74 (x2)
E75,90,35,1800,1,E75,E75 (x1)
E76,90,35,2100,1,E76,E76 (x1)
E77,90,35,2300,8,E77,E77 (x8)
E78,90,35,2400,5,E78,E78 (x5)
E79,90,35,3000,1,E79,E79 (x1)
E80,90,35,2300,2,E80,E80 (x2)
