,0,1
0,y_C0^E1,19.0
1,y_C0^E13,1.0
2,y_C0^E24,11.0
3,y_C0^E35,0.0
4,y_C0^E46,4.0
5,y_C0^E66,15.0
6,y_C10^E18,0.0
7,y_C10^E29,0.0
8,y_C10^E38,0.0
9,y_C10^E51,0.0
10,y_C10^E6,0.0
11,y_C11^E19,3.0
12,y_C11^E30,21.0
13,y_C11^E38,0.0
14,y_C11^E52,0.0
15,y_C11^E7,35.0
16,y_C12^E19,0.0
17,y_C12^E30,0.0
18,y_C12^E39,0.0
19,y_C12^E52,6.0
20,y_C12^E7,0.0
21,y_C13^E19,0.0
22,y_C13^E30,0.0
23,y_C13^E39,24.0
24,y_C13^E52,0.0
25,y_C13^E7,0.0
26,y_C14^E20,5.0
27,y_C14^E31,7.0
28,y_C14^E39,0.0
29,y_C14^E52,1.0
30,y_C14^E7,0.0
31,y_C15^E20,0.0
32,y_C15^E31,0.0
33,y_C15^E39,0.0
34,y_C15^E53,0.0
35,y_C15^E8,7.0
36,y_C16^E20,1.0
37,y_C16^E31,0.0
38,y_C16^E40,0.0
39,y_C16^E53,2.0
40,y_C16^E8,4.0
41,y_C17^E21,0.0
42,y_C17^E31,0.0
43,y_C17^E40,13.0
44,y_C17^E53,0.0
45,y_C17^E8,0.0
46,y_C18^E21,1.0
47,y_C18^E32,3.0
48,y_C18^E40,0.0
49,y_C18^E53,0.0
50,y_C18^E8,0.0
51,y_C19^E22,11.0
52,y_C19^E32,0.0
53,y_C19^E40,0.0
54,y_C19^E54,0.0
55,y_C19^E9,0.0
56,y_C1^E14,0.0
57,y_C1^E2,65.0
58,y_C1^E25,2.0
59,y_C1^E35,2.0
60,y_C1^E47,13.0
61,y_C1^E67,4.0
62,y_C20^E22,0.0
63,y_C20^E32,0.0
64,y_C20^E40,2.0
65,y_C20^E54,0.0
66,y_C20^E9,0.0
67,y_C21^E23,3.0
68,y_C21^E32,0.0
69,y_C21^E41,0.0
70,y_C21^E54,0.0
71,y_C21^E9,5.0
72,y_C22^E23,0.0
73,y_C22^E33,1.0
74,y_C22^E41,0.0
75,y_C22^E54,0.0
76,y_C22^E9,0.0
77,y_C23^E23,0.0
78,y_C23^E33,0.0
79,y_C23^E41,0.0
80,y_C23^E54,1.0
81,y_C23^E9,0.0
82,y_C24^E33,0.0
83,y_C24^E41,0.0
84,y_C24^E54,0.0
85,y_C24^E9,0.0
86,y_C25^E10,0.0
87,y_C25^E33,0.0
88,y_C25^E41,2.0
89,y_C25^E55,0.0
90,y_C26^E10,0.0
91,y_C26^E34,2.0
92,y_C26^E42,4.0
93,y_C26^E55,0.0
94,y_C27^E10,3.0
95,y_C27^E34,0.0
96,y_C27^E42,0.0
97,y_C27^E55,0.0
98,y_C28^E10,0.0
99,y_C28^E34,0.0
100,y_C28^E42,0.0
101,y_C28^E55,0.0
102,y_C29^E10,0.0
103,y_C29^E34,0.0
104,y_C29^E42,0.0
105,y_C29^E55,0.0
106,y_C2^E15,0.0
107,y_C2^E26,45.0
108,y_C2^E3,0.0
109,y_C2^E36,0.0
110,y_C2^E48,0.0
111,y_C2^E68,10.0
112,y_C30^E10,0.0
113,y_C30^E34,0.0
114,y_C30^E42,0.0
115,y_C30^E55,1.0
116,y_C31^E11,0.0
117,y_C31^E42,0.0
118,y_C31^E55,0.0
119,y_C32^E11,0.0
120,y_C32^E42,0.0
121,y_C32^E55,0.0
122,y_C33^E11,0.0
123,y_C33^E42,0.0
124,y_C34^E11,3.0
125,y_C34^E43,0.0
126,y_C35^E11,0.0
127,y_C35^E43,1.0
128,y_C36^E11,0.0
129,y_C36^E43,0.0
130,y_C37^E11,0.0
131,y_C37^E43,0.0
132,y_C38^E11,0.0
133,y_C38^E44,6.0
134,y_C39^E12,0.0
135,y_C39^E44,1.0
136,y_C3^E15,7.0
137,y_C3^E26,0.0
138,y_C3^E3,75.0
139,y_C3^E36,0.0
140,y_C3^E48,15.0
141,y_C3^E69,7.0
142,y_C40^E12,0.0
143,y_C40^E44,0.0
144,y_C41^E12,0.0
145,y_C41^E44,0.0
146,y_C42^E12,1.0
147,y_C42^E45,2.0
148,y_C43^E12,0.0
149,y_C43^E45,0.0
150,y_C44^E12,0.0
151,y_C44^E45,0.0
152,y_C45^E12,0.0
153,y_C45^E45,0.0
154,y_C46^E12,0.0
155,y_C46^E45,0.0
156,y_C47^E45,0.0
157,y_C48^E45,0.0
158,y_C49^E45,0.0
159,y_C4^E16,0.0
160,y_C4^E27,0.0
161,y_C4^E37,0.0
162,y_C4^E4,0.0
163,y_C4^E49,0.0
164,y_C4^E70,6.0
165,y_C5^E16,8.0
166,y_C5^E27,14.0
167,y_C5^E37,0.0
168,y_C5^E4,13.0
169,y_C5^E49,4.0
170,y_C5^E71,2.0
171,y_C6^E17,25.0
172,y_C6^E28,23.0
173,y_C6^E37,4.0
174,y_C6^E5,0.0
175,y_C6^E50,0.0
176,y_C6^E72,1.0
177,y_C7^E17,0.0
178,y_C7^E28,9.0
179,y_C7^E37,0.0
180,y_C7^E5,0.0
181,y_C7^E50,1.0
182,y_C8^E18,25.0
183,y_C8^E29,22.0
184,y_C8^E38,0.0
185,y_C8^E51,0.0
186,y_C8^E6,36.0
187,y_C9^E18,0.0
188,y_C9^E29,0.0
189,y_C9^E38,5.0
190,y_C9^E51,7.0
191,y_C9^E6,0.0
