name,length,width,lambda_y,framing_type,design_span,span_type,quantity_type,lambda_x,min_part_length,joint_ordinates
F1,2400,3400.0,1,wall_stud,2400,single,spaced,1,2400.0,"[0, 2400]"
F2,2400,900.0,1,jamb_stud,2400,single,spaced,1,2400.0,"[0, 2400]"
F3,900,1.0,1,lintel,900,single,unit,1,900.0,"[0, 900]"
F4,2400,1700.0,1,wall_stud,2400,single,spaced,1,2400.0,"[0, 2400]"
F5,2400,3000.0,2,wall_stud,2400,single,spaced,2,800.0,"[0.0, 800.0, 1600.0, 2400]"
F6,2400,6000.0,1,wall_stud,2400,single,spaced,1,2400.0,"[0, 2400]"
F7,2400,3000.0,2,wall_stud,2400,single,spaced,2,800.0,"[0.0, 800.0, 1600.0, 2400]"
F8,6000,1.0,2,top_plate,600,continuous,unit,4,1200.0,"[0, 600, 1200, 1800, 2400, 3000, 3600, 4200, 4800, 5400, 6000]"
F9,3000,1.0,2,top_plate,600,continuous,unit,2,1200.0,"[0, 600, 1200, 1800, 2400, 3000]"
F10,6000,1.0,2,top_plate,600,continuous,unit,4,1200.0,"[0, 600, 1200, 1800, 2400, 3000, 3600, 4200, 4800, 5400, 6000]"
F11,3000,1.0,2,top_plate,600,continuous,unit,2,1200.0,"[0, 600, 1200, 1800, 2400, 3000]"
F12,6000,1.0,2,bottom_plate,600,continuous,unit,4,1200.0,"[0, 600, 1200, 1800, 2400, 3000, 3600, 4200, 4800, 5400, 6000]"
F13,3000,1.0,2,bottom_plate,0,continuous,unit,2,1200.0,"[0, 600, 1200, 1800, 2400, 3000]"
F14,6000,1.0,2,bottom_plate,600,continuous,unit,4,1200.0,"[0, 600, 1200, 1800, 2400, 3000, 3600, 4200, 4800, 5400, 6000]"
F15,3000,1.0,2,bottom_plate,0,continuous,unit,2,1200.0,"[0, 600, 1200, 1800, 2400, 3000]"
F16,1507,6000.0,1,rafter,1507,single,spaced,1,1507.0,"[0, 1507]"
F17,1507,6000.0,1,rafter,1507,single,spaced,1,1507.0,"[0, 1507]"
